Player,Team,Opponent,Date,Result,Minutes,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TO,STL,BLK,PF,+/-,SPI
Vasilije Micic,CHA,CHA @ DET,03/11/2024,L,33,11,3,7,42.9,3,5,60.0,2,2,100,1,4,5,7,1,0,2,3,-8,28.5
Duop Reath,POR,POR vs. BOS,03/11/2024,L,13,8,3,5,60.0,2,3,66.7,0,0,-,1,0,1,0,0,0,1,1,-14,8.2
Javon Freeman-Liberty,TOR,TOR @ DEN,03/11/2024,L,12,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,2,0,1,0,1,3,7.2
Ochai Agbaji,TOR,TOR @ DEN,03/11/2024,L,29,8,4,7,57.1,0,0,-,0,1,0.0,1,1,2,1,0,2,0,5,-8,17.9
Jalen McDaniels,TOR,TOR @ DEN,03/11/2024,L,19,12,5,9,55.6,0,3,0.0,2,3,66.7,2,1,3,1,3,0,1,1,-9,25.1
Michael Porter Jr.,DEN,DEN vs. TOR,03/11/2024,W,33,19,8,14,57.1,2,6,33.3,1,2,50.0,3,5,8,3,1,1,0,2,-2,39.1
Jontay Porter,TOR,TOR @ DEN,03/11/2024,L,22,14,5,9,55.6,4,7,57.1,0,0,-,1,1,2,5,1,0,2,2,1,24.9
Nikola Jokic,DEN,DEN vs. TOR,03/11/2024,W,38,35,14,26,53.8,1,3,33.3,6,6,100,6,11,17,12,6,2,2,3,13,95.4
Aaron Gordon,DEN,DEN vs. TOR,03/11/2024,W,31,19,8,9,88.9,1,2,50.0,2,3,66.7,0,2,2,1,0,0,1,1,-1,21.9
Kentavious Caldwell-Pope,DEN,DEN vs. TOR,03/11/2024,W,32,3,1,6,16.7,1,3,33.3,0,0,-,0,2,2,6,1,0,2,1,5,15.4
Justin Holiday,DEN,DEN vs. TOR,03/11/2024,W,8,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-2,-1.0
Zach Collins,SAS,SAS vs. GSW,03/11/2024,L,17,10,5,8,62.5,0,1,0.0,0,0,-,4,6,10,3,1,3,5,3,-9,33.5
Gary Payton II,GSW,GSW @ SAS,03/11/2024,W,15,0,0,0,-,0,0,-,0,0,-,0,0,0,2,0,0,0,1,1,3.0
Victor Wembanyama,SAS,SAS vs. GSW,03/11/2024,L,31,27,10,25,40.0,3,9,33.3,4,9,44.4,2,12,14,3,1,2,3,1,-1,54.3
Chris Paul,GSW,GSW @ SAS,03/11/2024,W,33,19,9,19,47.4,1,4,25.0,0,0,-,2,7,9,8,1,0,1,4,7,43.8
Trayce Jackson-Davis,GSW,GSW @ SAS,03/11/2024,W,26,13,6,7,85.7,0,0,-,1,1,100,3,7,10,5,0,0,1,0,20,31.5
Tre Jones,SAS,SAS vs. GSW,03/11/2024,L,32,6,3,5,60.0,0,1,0.0,0,0,-,1,4,5,7,1,0,1,3,5,24.5
Keldon Johnson,SAS,SAS vs. GSW,03/11/2024,L,30,16,5,12,41.7,2,6,33.3,4,4,100,2,4,6,1,0,1,0,0,-10,27.7
Julian Champagnie,SAS,SAS vs. GSW,03/11/2024,L,28,9,3,5,60.0,3,5,60.0,0,0,-,0,2,2,2,1,0,1,0,2,16.4
Brandin Podziemski,GSW,GSW @ SAS,03/11/2024,W,35,14,5,10,50.0,3,5,60.0,1,1,100,1,7,8,4,1,1,2,2,17,33.6
Jeremy Sochan,SAS,SAS vs. GSW,03/11/2024,L,28,9,4,10,40.0,1,2,50.0,0,0,-,1,6,7,7,1,2,1,2,-3,35.9
