Player,Team,Opponent,Date,Result,Minutes,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TO,STL,BLK,PF,+/-,SPI
Isaiah Hartenstein,NYK,NYK @ MIL,04/07/2024,W,29,18,8,9,88.9,0,0,-,2,3,66.7,3,7,10,1,1,0,2,2,7,32.5
Kelly Oubre Jr.,PHI,PHI @ SAS,04/07/2024,W,48,26,12,22,54.5,2,6,33.3,0,2,0.0,1,7,8,5,2,0,3,2,1,46.1
Nicolas Batum,PHI,PHI @ SAS,04/07/2024,W,46,9,3,7,42.9,3,7,42.9,0,0,-,0,7,7,2,3,0,0,2,8,29.4
Blake Wesley,SAS,SAS vs. PHI,04/07/2024,L,18,6,3,4,75.0,0,1,0.0,0,0,-,1,3,4,0,0,0,0,2,-11,10.8
Sandro Mamukelashvili,SAS,SAS vs. PHI,04/07/2024,L,24,6,1,6,16.7,0,2,0.0,4,4,100,1,6,7,3,0,0,0,2,17,18.9
Jeff Dowtin Jr.,PHI,PHI @ SAS,04/07/2024,W,12,0,0,2,0.0,0,1,0.0,0,0,-,0,2,2,1,1,0,0,0,0,6.9
Paul Reed,PHI,PHI @ SAS,04/07/2024,W,31,11,5,11,45.5,1,2,50.0,0,0,-,4,6,10,5,1,1,2,6,10,34.5
Keldon Johnson,SAS,SAS vs. PHI,04/07/2024,L,24,7,2,8,25.0,1,5,20.0,2,2,100,1,3,4,1,1,1,3,3,-8,16.3
Mo Bamba,PHI,PHI @ SAS,04/07/2024,W,15,3,1,6,16.7,1,3,33.3,0,0,-,1,6,7,1,0,2,0,4,-7,18.9
Zach Collins,SAS,SAS vs. PHI,04/07/2024,L,15,9,3,7,42.9,0,0,-,3,3,100,3,1,4,2,0,2,3,3,-6,19.8
Buddy Hield,PHI,PHI @ SAS,04/07/2024,W,20,10,3,7,42.9,2,5,40.0,2,2,100,1,1,2,3,1,0,2,1,0,17.9
Cameron Payne,PHI,PHI @ SAS,04/07/2024,W,19,3,1,8,12.5,1,5,20.0,0,0,-,0,1,1,3,0,0,2,1,-9,6.7
Colby Jones,SAC,SAC @ BKN,04/07/2024,W,23,7,3,9,33.3,1,6,16.7,0,2,0.0,1,3,4,4,3,2,1,3,17,31.8
Noah Clowney,BKN,BKN vs. SAC,04/07/2024,L,35,7,3,8,37.5,0,0,-,1,2,50.0,1,9,10,1,1,0,1,3,-26,22.5
Keegan Murray,SAC,SAC @ BKN,04/07/2024,W,38,19,7,18,38.9,3,10,30.0,2,2,100,2,4,6,4,0,4,0,1,20,44.2
Trendon Watford,BKN,BKN vs. SAC,04/07/2024,L,33,16,7,18,38.9,2,5,40.0,0,0,-,3,4,7,2,0,1,4,4,-36,26.4
Day'Ron Sharpe,BKN,BKN vs. SAC,04/07/2024,L,24,4,2,5,40.0,0,1,0.0,0,0,-,2,2,4,2,1,1,1,2,-29,16.8
Lonnie Walker IV,BKN,BKN vs. SAC,04/07/2024,L,25,6,2,10,20.0,0,4,0.0,2,2,100,0,3,3,0,1,1,1,1,-30,14.6
De'Aaron Fox,SAC,SAC @ BKN,04/07/2024,W,34,20,8,20,40.0,3,11,27.3,1,2,50.0,1,4,5,3,1,0,1,3,16,32.5
Trey Lyles,SAC,SAC @ BKN,04/07/2024,W,29,14,6,8,75.0,2,3,66.7,0,0,-,2,8,10,2,1,2,0,0,37,38.0
Alex Len,SAC,SAC @ BKN,04/07/2024,W,9,0,0,1,0.0,0,0,-,0,0,-,0,3,3,3,0,1,0,0,3,11.1
Keon Ellis,SAC,SAC @ BKN,04/07/2024,W,19,6,2,7,28.6,2,6,33.3,0,0,-,0,2,2,1,0,1,2,2,-9,10.9
Jalen Wilson,BKN,BKN vs. SAC,04/07/2024,L,32,11,4,9,44.4,1,4,25.0,2,4,50.0,0,6,6,3,1,1,3,1,-10,25.7
Cam Thomas,BKN,BKN vs. SAC,04/07/2024,L,36,21,8,18,44.4,2,7,28.6,3,3,100,0,4,4,1,1,0,4,1,-14,26.3
Davion Mitchell,SAC,SAC @ BKN,04/07/2024,W,28,12,3,8,37.5,2,5,40.0,4,4,100,0,1,1,3,1,0,1,0,36,19.7
Kessler Edwards,SAC,SAC @ BKN,04/07/2024,W,4,6,2,2,100,1,1,100,1,1,100,0,0,0,1,0,0,0,0,8,7.5
Chris Duarte,SAC,SAC @ BKN,04/07/2024,W,4,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,1,0,0,1,3,8,4.7
Mikal Bridges,BKN,BKN vs. SAC,04/07/2024,L,24,8,3,6,50.0,2,3,66.7,0,0,-,1,4,5,2,0,0,1,1,0,16.0
Domantas Sabonis,SAC,SAC @ BKN,04/07/2024,W,35,18,7,14,50.0,0,1,0.0,4,5,80.0,5,15,20,9,1,2,3,4,19,61.5
P.J. Tucker,LAC,LAC vs. CLE,04/07/2024,W,14,0,0,1,0.0,0,1,0.0,0,0,-,1,0,1,1,0,0,0,1,-9,2.7
James Harden,LAC,LAC vs. CLE,04/07/2024,W,26,22,6,11,54.5,4,8,50.0,6,6,100,0,5,5,5,0,0,2,3,-20,33.5
Georges Niang,CLE,CLE @ LAC,04/07/2024,L,14,2,1,5,20.0,0,2,0.0,0,0,-,0,2,2,2,1,0,0,2,-5,10.4
Ivica Zubac,LAC,LAC vs. CLE,04/07/2024,W,27,14,7,10,70.0,0,0,-,0,0,-,4,7,11,1,0,0,3,1,-10,25.7
Jarrett Allen,CLE,CLE @ LAC,04/07/2024,L,35,17,6,12,50.0,0,0,-,5,5,100,2,8,10,1,1,1,1,1,-1,35.5
Devonte' Graham,SAS,SAS vs. PHI,04/07/2024,L,35,9,3,11,27.3,2,9,22.2,1,1,100,0,3,3,6,0,0,3,1,-2,18.6
Tyrese Maxey,PHI,PHI @ SAS,04/07/2024,W,54,52,19,41,46.3,2,10,20.0,12,12,100,0,5,5,7,2,0,1,2,14,73.5
Rui Hachimura,LAL,LAL vs. MIN,04/07/2024,L,36,30,11,17,64.7,4,5,80.0,4,4,100,2,4,6,1,0,0,0,3,1,38.7
Monte Morris,MIN,MIN @ LAL,04/07/2024,W,14,5,2,4,50.0,1,2,50.0,0,0,-,0,2,2,1,1,0,1,1,5,10.9
D'Angelo Russell,LAL,LAL vs. MIN,04/07/2024,L,39,15,5,19,26.3,1,7,14.3,4,4,100,0,7,7,11,1,0,1,0,-3,41.9
Anthony Davis,LAL,LAL vs. MIN,04/07/2024,L,12,4,2,6,33.3,0,0,-,0,0,-,3,1,4,3,2,0,1,2,4,18.3
Keyonte George,UTA,UTA @ GSW,04/07/2024,L,34,25,8,16,50.0,4,11,36.4,5,5,100,0,2,2,1,0,0,1,1,-1,27.9
Darius Bazley,UTA,UTA @ GSW,04/07/2024,L,30,6,2,3,66.7,0,0,-,2,2,100,2,2,4,2,0,2,1,1,-6,18.8
Usman Garuba,GSW,GSW vs. UTA,04/07/2024,W,3,2,1,4,25.0,0,1,0.0,0,0,-,2,0,2,0,0,0,1,0,-11,3.4
Brice Sensabaugh,UTA,UTA @ GSW,04/07/2024,L,27,9,4,7,57.1,1,2,50.0,0,0,-,0,3,3,3,0,1,1,2,1,19.1
Chris Paul,GSW,GSW vs. UTA,04/07/2024,W,36,12,5,10,50.0,2,6,33.3,0,0,-,0,1,1,9,4,1,4,2,15,37.7
Kevon Looney,GSW,GSW vs. UTA,04/07/2024,W,13,4,2,3,66.7,0,0,-,0,0,-,1,2,3,1,1,0,0,2,23,12.1
Trayce Jackson-Davis,GSW,GSW vs. UTA,04/07/2024,W,23,16,8,10,80.0,0,0,-,0,0,-,2,5,7,0,0,4,2,2,-2,34.4
Micah Potter,UTA,UTA @ GSW,04/07/2024,L,21,5,2,8,25.0,0,3,0.0,1,1,100,3,2,5,3,1,1,0,1,-9,21.5
Johnny Juzang,UTA,UTA @ GSW,04/07/2024,L,33,27,9,12,75.0,7,8,87.5,2,3,66.7,0,2,2,1,1,0,2,4,1,31.9
Moses Moody,GSW,GSW vs. UTA,04/07/2024,W,26,8,3,12,25.0,2,6,33.3,0,0,-,1,5,6,2,1,1,0,5,16,24.2
Jonathan Kuminga,GSW,GSW vs. UTA,04/07/2024,W,27,21,9,11,81.8,1,2,50.0,2,2,100,2,8,10,4,0,1,2,2,-4,40.0
Kira Lewis Jr.,UTA,UTA @ GSW,04/07/2024,L,16,5,2,4,50.0,0,1,0.0,1,2,50.0,0,1,1,2,1,0,0,0,-6,12.2
Collin Sexton,UTA,UTA @ GSW,04/07/2024,L,27,15,5,15,33.3,0,2,0.0,5,6,83.3,0,2,2,7,1,1,3,0,-12,30.9
Klay Thompson,GSW,GSW vs. UTA,04/07/2024,W,28,32,12,23,52.2,6,13,46.2,2,2,100,0,5,5,4,1,0,1,1,10,46.0
Brandin Podziemski,GSW,GSW vs. UTA,04/07/2024,W,31,16,6,10,60.0,2,4,50.0,2,2,100,2,5,7,6,0,0,1,0,17,32.4
Taylor Hendricks,UTA,UTA @ GSW,04/07/2024,L,26,10,3,7,42.9,3,6,50.0,1,2,50.0,0,3,3,2,0,1,3,0,2,16.6
Lester Quinones,GSW,GSW vs. UTA,04/07/2024,W,3,0,0,3,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-11,0.0
Gui Santos,GSW,GSW vs. UTA,04/07/2024,W,8,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,1,-13,1.5
Pat Spencer,GSW,GSW vs. UTA,04/07/2024,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-11,0.0
Omer Yurtseven,UTA,UTA @ GSW,04/07/2024,L,19,8,4,7,57.1,0,0,-,0,0,-,1,6,7,0,0,0,0,0,-6,16.4
Luka Samanic,UTA,UTA @ GSW,04/07/2024,L,5,0,0,4,0.0,0,2,0.0,0,0,-,0,0,0,0,0,0,0,0,-4,0.0
Jerome Robinson,GSW,GSW vs. UTA,04/07/2024,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-11,0.0
Gary Payton II,GSW,GSW vs. UTA,04/07/2024,W,16,4,2,2,100,0,0,-,0,0,-,0,3,3,2,0,0,0,3,16,10.6
Draymond Green,GSW,GSW vs. UTA,04/07/2024,W,21,3,1,4,25.0,1,2,50.0,0,0,-,1,2,3,3,2,1,2,1,6,18.1
Ricky Council IV,PHI,PHI @ SAS,04/07/2024,W,22,11,4,5,80.0,0,0,-,3,3,100,1,1,2,3,4,0,0,1,14,29.9
Victor Wembanyama,SAS,SAS vs. PHI,04/07/2024,L,43,33,11,20,55.0,5,10,50.0,6,7,85.7,3,15,18,6,0,7,9,1,-1,75.6
Malaki Branham,SAS,SAS vs. PHI,04/07/2024,L,44,22,8,15,53.3,5,8,62.5,1,2,50.0,1,2,3,1,0,1,2,0,-3,28.1
Julian Champagnie,SAS,SAS vs. PHI,04/07/2024,L,40,17,5,10,50.0,3,6,50.0,4,5,80.0,1,7,8,3,2,0,0,3,-16,37.1
KJ Martin,PHI,PHI @ SAS,04/07/2024,W,23,8,4,5,80.0,0,0,-,0,0,-,0,2,2,1,1,0,0,1,4,14.9
Tre Jones,SAS,SAS vs. PHI,04/07/2024,L,49,17,8,17,47.1,0,3,0.0,1,2,50.0,3,5,8,9,2,0,5,2,-5,41.1
Terance Mann,LAC,LAC vs. CLE,04/07/2024,W,29,14,6,6,100,2,2,100,0,0,-,0,4,4,3,1,0,2,5,-10,24.3
Isaac Okoro,CLE,CLE @ LAC,04/07/2024,L,25,11,4,4,100,0,0,-,3,4,75.0,1,2,3,0,0,0,0,2,0,14.6
Jaylin Williams,OKC,OKC @ CHA,04/07/2024,W,16,6,2,6,33.3,2,4,50.0,0,0,-,1,1,2,3,0,0,0,1,-4,12.9
Grant Williams,CHA,CHA vs. OKC,04/07/2024,L,38,19,7,10,70.0,2,2,100,3,4,75.0,1,2,3,5,2,1,2,3,-22,37.1
Nick Richards,CHA,CHA vs. OKC,04/07/2024,L,18,10,4,6,66.7,0,0,-,2,2,100,2,2,4,1,1,0,1,3,11,18.3
Lindy Waters III,OKC,OKC @ CHA,04/07/2024,W,15,10,4,5,80.0,2,3,66.7,0,0,-,0,0,0,0,1,0,0,1,10,13.0
Tre Mann,CHA,CHA vs. OKC,04/07/2024,L,33,18,7,7,100,3,3,100,1,1,100,1,4,5,6,4,2,5,2,-18,46.0
Josh Giddey,OKC,OKC @ CHA,04/07/2024,W,37,20,7,15,46.7,1,1,100,5,6,83.3,2,11,13,13,1,0,5,2,14,53.1
Brandon Miller,CHA,CHA vs. OKC,04/07/2024,L,36,13,4,13,30.8,1,8,12.5,4,5,80.0,1,2,3,4,1,3,2,2,-24,32.6
Cason Wallace,OKC,OKC @ CHA,04/07/2024,W,24,10,4,6,66.7,2,4,50.0,0,0,-,3,1,4,3,2,0,0,3,-3,25.3
Brook Lopez,MIL,MIL vs. NYK,04/07/2024,L,29,13,4,8,50.0,2,6,33.3,3,4,75.0,1,4,5,1,0,3,3,2,-9,26.5
Damian Lillard,MIL,MIL vs. NYK,04/07/2024,L,39,23,4,11,36.4,1,7,14.3,14,15,93.3,0,4,4,6,1,2,4,2,-8,41.8
Khris Middleton,MIL,MIL vs. NYK,04/07/2024,L,13,5,2,4,50.0,1,1,100,0,0,-,2,2,4,2,0,0,2,0,4,10.8
Thanasis Antetokounmpo,MIL,MIL vs. NYK,04/07/2024,L,1,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,0,-3,1.2
Malik Beasley,MIL,MIL vs. NYK,04/07/2024,L,23,9,3,6,50.0,3,6,50.0,0,0,-,0,1,1,3,0,0,0,5,-10,14.7
